certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
758/2014,2018-08-11,,"usd 11,595.89",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2018.0,2014.0,Equipamentos
758/2014,,,"usd 23,237.22",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,,2014.0,Equipamentos
758/2014,2019-11-03,,"usd 15,764.19",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,2019.0,2014.0,Equipamentos
477/2009,2019-08-01,,"usd 513,984.48",construtora norberto odebrecht s.a.,c.a. metro de caracas,construtora norberto odebrecht s.a.,venezuela,bens e serviços brasileiros para as obras de construção da linha v do metrô de caracas,banco nacional de desenvolvimento econômico e social - bndes,supplierss credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,,,não,não,thayana,,construtora norberto odebrecht sa,ca caracas de metro,construtora norberto odebrecht sa,2019.0,2009.0,Construção Civil
478/2009,2019-08-01,,"usd 2,874,881.41",construtora norberto odebrecht s.a.,c.a. metro los teques,construtora norberto odebrecht s.a.,venezuela,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,25/03/2009 - 56ª ro,cofig/camex,,,não,não,ana,,construtora norberto odebrecht sa,ca los metro teques,construtora norberto odebrecht sa,2019.0,2009.0,Equipamentos
758/2014,,,usd 125.61,irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,,2014.0,Equipamentos
758/2014,,,"usd 8,976.07",irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,não,não,não,não,thayana,verificar arquivos no ministério,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,,2014.0,Equipamentos
411/2008,,,"usd 36,906.49",f.m. coempar comercial ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,coempar comercial fm,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
419/2008,,,"usd 33,155.40",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
426/2008,,,"usd 166,155.27",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
538/2010,,,"usd 639,794.12",cnh latin américa ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,16/03/2010 - 68ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
581/2010,,,"usd 41,023.64",armco staco s.a. - indústria metalúrgica,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,14/07/2010 - 72ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,armco industria metalurgica sa staco,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
581/2010,,,"usd 65,075.31",armco staco s.a. - indústria metalúrgica,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,14/07/2010 - 72ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,armco industria metalurgica sa staco,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
582/2010,,,"usd 89,335.10",industrial pagé ltda.,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos agrícolas para secagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,27/10/2010 - 75ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,industrial page,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
689/2012,,,"usd 120,908.04",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,06/09/2012 - 98ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
699/2012,,,"usd 104,312.13",nb máquinas ltda.,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/12/2012 - 100ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,maquinas nb,maquimport,banco bndes de desenvolvimento e economico nacional social,,2012.0,Agronegócio
708/2013,,,"usd 8,274,118.57",companhia de obras e infraestrutura.,zona de desarrollo integral mariel s.a. - zdim,banco nacional de desenvolvimento econômico e social - bndes,cuba,"obras de ampliação e modernização do porto de mariel e de sua infraestrutura de acesso, na república de cuba.",banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),riscos políticos e extraordinários,conforme os desembolsos,14/06/2013,cofig/camex,,,não,não,,aguardando envio do bndes,companhia de e infraestrutura obras,de desarrollo integral mariel sa zdim zona,banco bndes de desenvolvimento e economico nacional social,,2013.0,Construção Civil
747/2014,,,"usd 127,988.78",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
747/2014,,,"usd 198,299.15",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,30/04/2014 - 114ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2014.0,Construção Civil
400/2008,,,"usd 20,536.92",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
402/2008,,,"usd 14,050.88",cnh latin america ltda.,construimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas colheitadeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,02/07/2008 - 48ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,america cnh latin,construimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
419/2008,,,"usd 64,069.26",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
420/2008,,,"usd 39,203.44",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,máquinas agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2008.0,Agronegócio
426/2008,,,"usd 70,648.10",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,não,não,,aguardando envio do bndes,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
